Cr398	NGC6756
Cr400	NGC6802
Cr402	NGC6811
Cr403	NGC6819
Cr404	NGC6820
Cr405	NGC6823
Cr406	NGC6830
Cr407	NGC6834
Cr409	NGC6838
Cr410	NGC6846
Cr412	NGC6866
Cr413	NGC6871
Cr414	IC1311
Cr415	NGC6883
Cr416	NGC6882
Cr417	NGC6885
Cr418	IC4996
Cr420	NGC6910
Cr422	NGC6913
Cr423	NGC6939
Cr424	NGC6940
Cr425	NGC6996
Cr426	NGC6994
Cr429	NGC7023
Cr430	NGC7031
Cr431	NGC7039
Cr432	IC1369
Cr433	NGC7044
Cr434	NGC7062
Cr435	NGC7063
Cr436	NGC7067
Cr437	NGC7086
Cr438	NGC7092
Cr439	IC1396
Cr440	NGC7128
Cr441	NGC7129
Cr442	NGC7142
Cr443	NGC7160
Cr444	NGC7209
Cr445	IC1434
Cr446	NGC7226
Cr447	NGC7235
Cr448	NGC7243
Cr449	NGC7245
Cr450	NGC7261
Cr451	NGC7296
Cr452	NGC7380
Cr453	NGC7419
Cr454	NGC7510
Cr455	NGC7654
Cr456	NGC7686
Cr457	NGC7762
Cr459	NGC7788
Cr460	NGC7789
Cr461	NGC7790
Cr462	NGC189
Cr470	IC5146
C1	NGC188
C2	NGC40
C3	NGC4236
C4	NGC7023
C5	IC342
C6	NGC6543
C7	NGC2403
C8	NGC559
C10	NGC663
C11	NGC7635
C12	NGC6946
C13	NGC457
C14	NGC869
C14	NGC884
C15	NGC6826
C16	NGC7243
C17	NGC147
C18	NGC185
C19	IC5146
C20	NGC7000
C21	NGC4449
C22	NGC7662
C23	NGC891
C24	NGC1275
C25	NGC2419
C26	NGC4244
C27	NGC6888
C28	NGC752
C29	NGC5005
C30	NGC7331
C31	IC405
C32	NGC4631
C33	NGC6992
C34	NGC6960
C35	NGC4889
C36	NGC4559
C37	NGC6885
C38	NGC4565
C39	NGC2392
C40	NGC3626
C42	NGC7006
C43	NGC7814
C44	NGC7479
C45	NGC5248
C46	NGC2261
C47	NGC6934
C48	NGC2775
C49	NGC2237
C50	NGC2244
C51	IC1613
C52	NGC4697
C53	NGC3115
C54	NGC2506
C55	NGC7009
C56	NGC246
C57	NGC6822
C58	NGC2360
C59	NGC3242
C60	NGC4038
C61	NGC4039
C62	NGC247
C63	NGC7293
C64	NGC2362
C65	NGC253
C66	NGC5694
C67	NGC1097
C68	NGC6729
C69	NGC6302
C70	NGC300
C71	NGC2477
C72	NGC55
C73	NGC1851
C74	NGC3132
C75	NGC6124
C76	NGC6231
C77	NGC5128
C78	NGC6541
C79	NGC3201
C80	NGC5139
C81	NGC6352
C82	NGC6193
C83	NGC4945
C84	NGC5286
C85	IC2391
C86	NGC6397
C87	NGC1261
C88	NGC5823
C89	NGC6087
C90	NGC2867
C91	NGC3532
C92	NGC3372
C93	NGC6752
C94	NGC4755
C95	NGC6025
C96	NGC2516
C97	NGC3766
C98	NGC4609
C100	IC2944
C101	NGC6744
C102	IC2602
C103	NGC2070
C104	NGC362
C105	NGC4833
C106	NGC104
C107	NGC6101
C108	NGC4372
C109	NGC3195
Mel1	NGC104
Mel2	NGC188
Mel3	NGC288
Mel4	NGC362
Mel5	NGC371
Mel6	NGC436
Mel7	NGC457
Mel8	NGC581
Mel9	NGC654
Mel10	NGC659
Mel11	NGC663
Mel12	NGC752
Mel13	NGC869
Mel14	NGC884
Mel15	IC1805
Mel16	NGC1027
Mel17	NGC1039
Mel18	NGC1245
Mel19	NGC1261
Mel21	NGC1342
Mel23	NGC1528
Mel24	IC361
Mel26	NGC1647
Mel27	NGC1664
Mel28	NGC1746
Mel29	NGC1807
Mel30	NGC1851
Mel32	NGC1857
Mel33	NGC1893
Mel34	NGC1904
Mel35	NGC1907
Mel36	NGC1912
Mel37	NGC1960
Mel38	NGC2099
Mel39	NGC2126
Mel40	NGC2158
Mel41	NGC2168
Mel42	NGC2192
Mel43	NGC2194
Mel44	NGC2204
Mel45	NGC2215
Mel46	NGC2243
Mel47	NGC2244
Mel48	NGC2259
Mel49	NGC2264
Mel50	NGC2266
Mel51	NGC2281
Mel52	NGC2287
Mel53	NGC2298
Mel54	NGC2301
Mel55	NGC2304
Mel56	NGC2309
Mel57	NGC2314
Mel58	NGC2323
Mel59	NGC2324
Mel60	NGC2335
Mel61	NGC2345
Mel62	NGC2353
Mel63	NGC2355
Mel64	NGC2360
Mel65	NGC2362
Mel67	NGC2421
Mel68	NGC2422
Mel69	NGC2420
Mel70	NGC2423
Mel73	NGC2432
Mel74	NGC2439
Mel75	NGC2437
Mel76	NGC2447
Mel77	NGC2455
Mel78	NGC2477
Mel79	NGC2489
Mel80	NGC2506
Mel81	NGC2509
Mel82	NGC2516
Mel83	NGC2539
Mel84	NGC2547
Mel85	NGC2548
Mel86	NGC2567
Mel87	NGC2627
Mel88	NGC2632
Mel89	NGC2635
Mel90	NGC2658
Mel91	NGC2659
Mel92	NGC2660
Mel93	NGC2670
Mel94	NGC2682
Mel95	NGC2808
Mel96	NGC2818
Mel97	IC2488
Mel98	NGC3114
Mel99	NGC3201
Mel100	NGC3293
Mel102	IC2602
Mel103	NGC3532
Mel104	IC2714
Mel106	NGC3680
Mel107	NGC3766
Mel108	NGC3960
Mel109	NGC4103
Mel110	NGC4349
Mel112	NGC4372
Mel113	NGC4590
Mel114	NGC4755
Mel115	NGC4833
Mel116	NGC4852
Mel117	NGC5024
Mel118	NGC5139
Mel119	NGC5272
Mel120	NGC5281
Mel121	NGC5286
Mel122	NGC5316
Mel123	NGC5460
Mel124	NGC5466
Mel125	NGC5617
Mel126	NGC5634
Mel127	NGC5662
Mel128	NGC5715
Mel129	IC4499
Mel130	NGC5822
Mel131	NGC5823
Mel132	NGC5897
Mel133	NGC5904
Mel134	NGC5927
Mel135	NGC5946
Mel136	NGC5986
Mel137	NGC5999
Mel138	NGC6005
Mel139	NGC6025
Mel140	NGC6067
Mel141	NGC6087
Mel142	NGC6093
Mel143	NGC6101
Mel144	NGC6121
Mel145	NGC6124
Mel146	NGC6134
Mel147	NGC6144
Mel148	NGC6171
Mel149	NGC6192
Mel150	NGC6205
Mel151	NGC6218
Mel152	NGC6216
Mel153	NGC6231
Mel154	NGC6235
Mel155	NGC6242
Mel156	NGC6253
Mel157	NGC6254
Mel158	NGC6259
Mel159	NGC6266
Mel160	NGC6273
Mel161	NGC6281
Mel162	NGC6284
Mel163	NGC6287
Mel164	NGC6293
Mel165	NGC6304
Mel166	NGC6318
Mel167	NGC6333
Mel168	NGC6341
Mel169	IC4651
Mel170	NGC6352
Mel171	NGC6356
Mel172	NGC6362
Mel173	NGC6366
Mel174	NGC6388
Mel175	NGC6402
Mel176	NGC6397
Mel177	NGC6400
Mel178	NGC6405
Mel179	IC4665
Mel180	NGC6441
Mel181	NGC6451
Mel182	NGC6469
Mel183	NGC6475
Mel184	NGC6494
Mel185	NGC6496
Mel187	NGC6520
Mel188	NGC6531
Mel189	NGC6535
Mel190	NGC6539
Mel191	NGC6541
Mel192	NGC6544
Mel193	NGC6553
Mel194	NGC6558
Mel195	NGC6569
Mel196	NGC6584
Mel197	IC4715
Mel198	NGC6611
Mel199	NGC6624
Mel200	NGC6626
Mel201	NGC6633
Mel202	NGC6637
Mel203	NGC6642
Mel204	IC4725
Mel205	NGC6645
Mel206	NGC6649
Mel207	NGC6652
Mel208	NGC6656
Mel209	NGC6664
Mel210	IC4756
Mel211	NGC6681
Mel212	NGC6694
Mel213	NGC6705
Mel214	NGC6709
Mel215	NGC6712
Mel216	NGC6715
Mel217	NGC6723
Mel218	NGC6752
Mel219	NGC6760
Mel220	NGC6779
Mel221	NGC6809
Mel222	NGC6811
Mel223	NGC6819
Mel224	NGC6830
Mel225	NGC6834
Mel226	NGC6838
Mel228	NGC6864
Mel229	NGC6866
Mel230	NGC6934
Mel231	NGC6939
Mel232	NGC6940
Mel233	NGC6981
Mel234	NGC7078
Mel235	NGC7089
Mel236	NGC7092
Mel237	NGC7099
Mel238	NGC7209
Mel239	IC1434
Mel240	NGC7243
Mel241	NGC7245
Mel242	NGC7492
Mel243	NGC7654
Mel244	NGC7762
Mel245	NGC7789
PK120+09.1	NGC40
PK118-74.1	NGC246
PK220-53.1	NGC1360
PK144+06.1	NGC1501
PK165-15.1	NGC1514
PK206-40.1	NGC1535
PK176+00.1	NGC1985
PK196-10.1	NGC2022
PK170+15.1	NGC2242
PK215+03.1	NGC2346
PK197+17.1	NGC2392
PK231+04.2	NGC2438
PK234+02.1	NGC2440
PK243-01.1	NGC2452
PK239+13.1	NGC2610
PK265+04.1	NGC2792
PK261+08.1	NGC2818
PK278-05.1	NGC2867
PK277-03.1	NGC2899
PK272+12.1	NGC3132
PK296-20.1	NGC3195
PK286-04.1	NGC3211
PK261+32.1	NGC3242
PK292+01.1	NGC3699
PK294+04.1	NGC3918
PK298-04.1	NGC4071
PK312+10.1	NGC5307
PK309-04.2	NGC5315
PK317-05.1	NGC5844
PK331+16.1	NGC5873
PK322-05.1	NGC5979
PK341+13.1	NGC6026
PK064+48.1	NGC6058
PK342+10.1	NGC6072
PK341+05.1	NGC6153
PK043+37.1	NGC6210
PK349+01.1	NGC6302
PK009+14.1	NGC6309
PK338-08.1	NGC6326
PK349-01.1	NGC6337
PK002+05.1	NGC6369
PK011+05.1	NGC6439
PK008+03.1	NGC6445
PK010+00.1	NGC6537
PK096+29.1	NGC6543
PK358-07.1	NGC6563
PK003-04.5	NGC6565
PK011-00.2	NGC6567
PK034+11.1	NGC6572
PK010-01.1	NGC6578
PK005-06.1	NGC6620
PK009-05.1	NGC6629
PK008-07.2	NGC6644
PK009-10.1 involved?	NGC6698
PK033-02.1	NGC6741
PK078+18.1	NGC6742
PK062+09.1	NGC6765
PK033-06.1	NGC6772
PK041-02.1	NGC6781
PK037-06.1	NGC6790
PK046-04.1	NGC6803
PK045-04.1	NGC6804
PK042-06.1	NGC6807
PK025-17.1	NGC6818
PK083+12.1	NGC6826
PK082+11.1	NGC6833
PK042-14.1	NGC6852
PK070+01.2	NGC6857
PK057-08.1	NGC6879
PK074+02.1	NGC6881
PK060-07.2	NGC6886
PK054-12.1	NGC6891
PK069-02.1	NGC6894
PK061-09.1	NGC6905
PK093+05.2	NGC7008
PK037-34.1	NGC7009
PK089+00.1	NGC7026
PK084-03.1	NGC7027
PK088-01.1	NGC7048
PK101+08.1	NGC7076
PK066-28.1	NGC7094
PK104+07.1	NGC7139
PK036-57.1	NGC7293
PK107+02.1	NGC7354
PK106-17.1	NGC7662
PK138+02.1	IC289
PK159-15.1	IC351
PK215-24.1	IC418
PK326+42.1	IC972
PK345-08.1	IC1266
PK025-04.2	IC1295
PK358-21.1	IC1297
PK117+18.1	IC1454
PK130+01.1	IC1747
PK161-14.1	IC2003
PK166+10.1	IC2149
PK221-12.1	IC2165
PK285-14.1	IC2448
PK281-05.1	IC2501
PK285-05.1	IC2553
PK291-04.1	IC2621
PK123+34.1	IC3568
PK304-04.1	IC4191
PK319+15.1	IC4406
PK025+40.1	IC4593
PK338+05.1	IC4599
PK000+12.1	IC4634
PK345+00.1	IC4637
PK334-09.1	IC4642
PK346-08.1	IC4663
PK007+01.1	IC4670
PK003-02.3	IC4673
PK348-13.1	IC4699
PK010-06.1	IC4732
PK002-13.1	IC4776
PK027-09.1	IC4846
PK058-10.1	IC4997
PK089-05.1	IC5117
PK100-05.1	IC5217
PK130-10.1	NGC650
PK130-10.1	NGC651
PK189+19.1	NGC2371
PK189+19.1	NGC2372
PK148+57.1	NGC3587
PK294+43.1	NGC4361
PK307-03.1	NGC5189
PK327+10.1	NGC5882
PK336-00.1	NGC6164
PK336-00.1	NGC6165
PK063+13.1	NGC6720
PK029-05.1	NGC6748
PK029-05.1	NGC6751
PK082+07.1	NGC6766
PK034-06.1	NGC6778
PK034-06.1	NGC6785
PK065+00.1	NGC6842
PK065+00.1	NGC6847
PK060-03.1	NGC6853
PK082+07.1	NGC6884
PK327+10.1	IC1108
PK307-03.1	IC4274
PK002-52.1	IC5148
PK002-52.1	IC5150
PK328-17.1	IC4662
ESO409-22	NGC7
ESO349-32	NGC10
ESO472-16	NGC24
ESO149-19	NGC25
ESO149-20	NGC31
ESO149-22	NGC37
ESO473-1	NGC45
ESO111-20	NGC53
ESO293-50	NGC55
ESO539-4	NGC59
ESO473-10A	NGC65
ESO473-10	NGC66
ESO473-15	NGC77
ESO194-8	NGC87
ESO194-10	NGC88
ESO194-11	NGC89
ESO194-12	NGC92
ESO242-5	NGC98
ESO350-14	NGC101
ESO350-17	NGC115
ESO150-8	NGC119
ESO50-12	NGC121
ESO350-21	NGC131
ESO350-23	NGC134
ESO473-21	NGC142
ESO473-22	NGC143
ESO473-23	NGC144
ESO410-20	NGC148
ESO410-19	NGC150
ESO28-24	NGC152
ESO150-11	NGC159
ESO473-29	NGC167
ESO474-4	NGC168
ESO474-5	NGC172
ESO411-1	NGC174
ESO29-2	NGC176
ESO474-6	NGC177
ESO540-7	NGC179
ESO540-8	NGC209
ESO150-18	NGC212
ESO150-19	NGC215
ESO540-15	NGC216
ESO29-3	NGC220
ESO29-4	NGC222
ESO474-14	NGC230
ESO29-5	NGC231
ESO474-15	NGC232
ESO474-16	NGC235A
ESO474-17	NGC235B
ESO194-31	NGC238
ESO540-22	NGC247
ESO29-8	NGC248
ESO29-9	NGC249
ESO474-29	NGC253
ESO411-15	NGC254
ESO29-11	NGC256
ESO29-12	NGC261
ESO295-6	NGC264
ESO29-14	NGC265
ESO29-15	NGC267
ESO29-16	NGC269
ESO474-37	NGC288
ESO411-25	NGC289
ESO29-19	NGC290
ESO29-21	NGC292
ESO29-22	NGC294
ESO51-5	NGC299
ESO295-20	NGC300
