M1,8.4,6,4
M2,6.5,13,13
M3,6.2,16,16
M4,5.6,26,26
M5,5.7,17,17
M6,4.0,20,20
M7,3.0,80,80
M8,5.0,50,30
M9,7.7,9.3,9.3
M10,6.6,15,15
M11,5.8,14,14
M12,6.7,15,15
M13,5.8,17,17
M14,7.6,12,12
M15,6.2,12,12
M16,6.0,18,15
M17,6.0,25,20
M18,6.9,9.0,9.0
M19,6.8,14,14
M20,6.3,30,20
M21,5.9,13,13
M22,5.1,24,24
M23,5.5,27,27
M24,3.1,95,35
M25,4.6,29,29
M26,8.0,8.0,8.0
M27,7.3,8.0,5.7
M28,6.8,11,11
M29,7.0,7.0,7.0
M30,7.2,11,11
M31,3.4,191,62
M32,8.1,8.7,6.5
M33,5.7,71,42
M34,5.2,35,35
M35,5.1,28,28
M36,6.0,12,12
M37,5.6,24,24
M38,6.4,21,21
M39,4.6,32,32
M40,9.1,0.9,0.9
M41,4.5,38,38
M42,4.0,40,35
M43,9.0,10,10
M44,3.1,95,95
M45,1.2,100,100
M46,6.1,27,27
M47,4.4,30,30
M48,5.8,30,30
M49,8.4,10,8.3
M50,5.9,16,16
M51,8.4,11,6.9
M52,6.9,13,13
M53,7.6,13,13
M54,7.6,9.1,9.1
M55,6.3,19,19
M56,8.3,7.1,7.1
M57,8.8,1.4,1.0
M58,9.7,5.9,4.7
M59,9.6,5.4,3.7
M60,8.8,7.4,6.0
M61,9.7,6.5,5.8
M62,6.5,14,14
M63,8.6,13,7.2
M64,8.5,10,5.4
M65,9.3,9.8,2.9
M66,8.9,9.1,4.2
M67,6.9,25,25
M68,7.8,12,12
M69,7.6,7.1,7.1
M70,7.9,7.8,7.8
M71,8.2,7.2,7.2
M72,9.3,5.9,5.9
M73,9.6,1.0,1.0
M74,9.4,11,9.6
M75,8.5,6.0,6.0
M76,10.1,2.7,1.8
M77,8.9,7.1,6.0
M78,8.0,8,6
M79,7.7,8.7,8.7
M80,7.3,8.9,8.9
M81,6.9,27,14
M82,8.4,11,4.3
M83,7.5,13,12
M84,9.1,6.5,5.6
M85,9.1,7.1,5.5
M86,8.9,8.9,5.8
M87,8.6,8.3,6.6
M88,9.6,6.9,3.7
M89,9.8,5.1,4.7
M90,9.5,9.6,4.4
M91,10.2,5.4,4.3
M92,6.4,11,11
M93,6.2,22,22
M94,8.2,11,9.1
M95,9.7,7.4,5.0
M96,9.3,7.6,5.3
M97,9.9,3.3,3.3
M98,10.1,9.8,2.8
M99,9.9,5.4,4.7
M100,9.4,7.4,6.3
M101,7.9,29,27
M103,7.4,6.0,6.0
M104,8.0,8.7,6.3
M105,9.3,5.4,4.8
M106,8.4,19,7.2
M107,7.9,10,10
M108,10.0,8.7,2.2
M109,9.8,7.6,4.7
M110,8.1,22,11
