NGC 178,12.6,2.1,0.9
NGC 179,13.3,0.9,0.7
NGC 180,12.9,2.4,2.0
NGC 181,15.5,0.7,0.2
NGC 182,12.4,1.9,1.6
NGC 183,12.7,2.1,1.6
NGC 184,14.6,0.7,0.2
NGC 185,9.2,12.5,10.4
NGC 186,13.4,1.4,0.8
NGC 187,13.3,1.3,0.5
NGC 188,8.1,14.0,14.0
NGC 189,8.8,3.7,3.7
NGC 190,14.5,0.9,0.8
NGC 191,14.1,1.4,1.2
NGC 192,12.6,1.9,0.9
NGC 193,12.2,1.4,1.2
NGC 194,12.2,1.6,1.4
NGC 195,14.2,1.2,0.9
NGC 196,14.0,1.3,0.8
NGC 197,14.1,1.2,0.8
NGC 198,13.1,1.1,1.1
NGC 199,13.6,1.2,0.7
NGC 200,12.6,1.7,1.0
NGC 201,12.9,1.8,1.5
NGC 202,14.3,0.9,0.3
NGC 203,14.0,0.9,0.3
NGC 204,12.9,1.2,1.2
NGC 205,8.1,19.5,11.5
NGC 206,12.8,1.8,0.6
NGC 207,14.5,0.9,0.4
NGC 208,14.3,0.7,0.7
NGC 209,12.9,1.3,1.1
NGC 210,10.9,4.6,3.2
NGC 211,15.1,0.9,0.3
NGC 212,13.4,1.3,1.0
NGC 213,13.3,1.7,1.5
NGC 214,12.3,1.9,1.5
NGC 215,13.1,1.1,0.9
NGC 216,13.2,2.0,0.7
NGC 217,13.5,2.7,0.6
NGC 218,14.0,1.1,1.1
NGC 219,14.3,0.5,0.4
NGC 221,8.1,8.5,6.5
NGC 223,13.2,1.3,0.9
NGC 224,3.4,189.0,61.0
NGC 225,7.0,12.0,12.0
NGC 226,13.3,0.9,0.9
NGC 227,12.1,1.5,1.2
NGC 228,13.7,1.2,1.1
NGC 229,14.5,1.0,0.4
NGC 230,14.7,1.1,0.2
NGC 232,13.5,0.9,0.8
NGC 233,12.4,1.7,1.6
NGC 234,12.5,1.6,1.6
NGC 236,13.5,1.2,1.0
NGC 237,13.0,1.6,0.9
NGC 238,13.2,2.0,1.6
NGC 239,14.8,1.0,0.5
NGC 240,13.5,1.0,0.9
NGC 243,13.6,0.9,0.4
NGC 244,13.7,1.2,1.0
NGC 245,12.2,1.3,1.1
NGC 246,10.4,4.0,3.5
NGC 247,9.1,21.0,5.6
NGC 248,99.9,1.0,1.0
NGC 249,13.8,2.0,2.0
NGC 250,13.6,1.1,0.6
NGC 251,13.2,2.4,1.9
NGC 252,12.4,1.4,1.0
NGC 253,7.2,26.4,6.0
NGC 254,11.7,2.6,1.7
NGC 255,11.9,3.1,2.7
NGC 257,12.6,1.9,1.3
NGC 258,15.0,0.5,0.4
NGC 259,13.3,2.9,0.6
NGC 260,13.5,0.8,0.8
NGC 261,13.0,1.9,1.9
NGC 262,13.1,1.4,1.4
NGC 263,14.0,0.7,0.3
NGC 264,13.4,1.1,0.3
NGC 266,11.6,2.9,2.9
NGC 267,99.9,2.5,2.5
NGC 268,13.1,1.6,1.1
NGC 270,12.9,1.8,1.6
NGC 271,12.0,2.2,1.7
NGC 273,12.9,2.1,0.6
NGC 274,11.8,1.9,1.4
NGC 275,12.5,1.5,1.2
NGC 276,14.9,1.0,0.4
NGC 277,13.4,1.4,1.2
NGC 278,10.8,2.4,2.4
NGC 279,12.7,1.6,1.2
NGC 280,13.2,1.7,1.1
NGC 281,7.4,4.0,4.0
NGC 282,14.5,0.8,0.6
NGC 283,14.2,1.6,1.0
NGC 284,15.0,0.8,0.8
NGC 285,15.2,0.7,0.4
NGC 286,14.4,1.3,0.9
NGC 287,15.0,0.8,0.4
NGC 288,8.1,13.8,13.8
NGC 289,11.0,5.4,3.8
NGC 291,14.5,1.1,0.6
NGC 292,2.3,319.0,205.0
NGC 293,14.7,1.1,0.9
NGC 295,12.6,2.2,1.0
NGC 296,15.0,1.1,0.3
NGC 297,16.5,0.3,0.2
NGC 298,13.5,1.7,0.4
NGC 300,8.1,19.3,13.3
NGC 301,15.6,0.7,0.5
NGC 303,16.1,0.7,0.3
NGC 304,13.0,1.1,0.7
NGC 307,12.8,1.6,0.7
NGC 309,11.9,3.0,2.4
NGC 311,13.0,1.5,0.8
NGC 312,13.4,1.4,1.1
NGC 314,13.2,0.9,0.8
NGC 315,11.2,3.0,2.5
NGC 318,15.0,0.5,0.3
NGC 319,13.3,1.0,0.8
NGC 320,13.5,0.8,0.5
NGC 321,15.7,0.4,0.3
NGC 322,13.3,1.1,0.6
NGC 323,13.6,1.0,1.0
NGC 324,12.9,1.4,0.5
NGC 325,16.0,1.3,0.2
NGC 326,13.2,1.5,1.5
NGC 327,13.4,1.5,0.6
NGC 328,14.3,2.6,0.5
NGC 329,13.3,1.5,0.6
NGC 330,9.6,1.9,1.9
NGC 331,15.5,0.7,0.3
NGC 332,15.0,1.3,1.3
NGC 333,14.5,1.6,0.9
NGC 334,13.8,1.2,0.6
NGC 335,14.3,1.1,0.3
NGC 336,12.0,0.7,0.2
NGC 337,11.6,3.0,1.8
NGC 338,12.8,1.8,0.6
NGC 339,11.9,2.2,2.2
NGC 340,14.0,0.9,0.4
NGC 341,13.7,1.2,1.1
NGC 342,14.5,0.8,0.4
NGC 344,16.0,0.6,0.3
NGC 345,13.5,1.2,0.8
NGC 346,10.3,5.2,5.2
NGC 347,14.5,0.6,0.4
NGC 348,14.6,0.8,0.7
NGC 349,13.5,1.2,0.9
NGC 350,15.0,0.7,0.5
NGC 351,13.2,1.5,0.8
NGC 352,12.6,2.4,0.8
NGC 353,13.6,1.3,0.4
NGC 354,13.4,0.8,0.4
NGC 355,15.0,1.0,0.4
NGC 356,13.5,1.5,0.8
NGC 357,12.0,2.5,1.7
NGC 358,99.9,3.0,3.0
NGC 359,13.3,1.5,1.1
NGC 360,13.4,3.6,0.5
NGC 361,11.8,1.5,1.5
NGC 362,6.8,12.9,12.9
NGC 363,15.0,0.6,0.5
NGC 364,13.1,1.4,1.2
NGC 365,13.5,1.0,0.6
NGC 366,12.0,3.0,3.0
NGC 367,15.5,0.9,0.5
NGC 368,13.6,0.7,0.7
NGC 369,13.8,1.0,0.8
NGC 371,13.8,7.5,7.5
NGC 373,16.6,0.3,0.3
NGC 374,13.4,1.1,0.5
NGC 375,16.0,0.9,0.7
NGC 376,11.8,7.9,7.9
NGC 377,15.7,0.8,0.2
NGC 378,13.1,1.5,1.1
NGC 379,12.9,1.4,0.7
NGC 380,12.5,1.3,1.1
NGC 381,9.3,6.0,6.0
NGC 382,13.2,0.9,0.9
NGC 383,12.4,2.0,1.7
NGC 384,13.1,1.1,0.8
NGC 385,13.0,1.1,1.0
NGC 386,14.3,0.4,0.3
NGC 387,16.0,0.3,0.3
NGC 388,14.3,0.3,0.3
NGC 389,13.8,1.3,0.4
NGC 391,13.4,0.9,0.7
NGC 392,12.7,1.2,0.9
NGC 393,12.5,1.7,1.4
NGC 394,15.0,0.6,0.3
NGC 395,99.9,17.0,17.0
NGC 396,16.0,0.4,0.3
