IC0141,1:32:52,-14:48:52.6
IC0142,1:33:56,+30:45:28.1
IC0143,1:34:11,+30:46:35.1
IC0144,1:37:41,-13:18:52.8
IC0145,1:38:38,+00:44:29.4
IC0146,1:38:40,-17:49:52.3
IC0147,1:40:00,-14:51:45.5
IC0148,1:42:27,+13:58:37.3
IC0149,1:42:25,-16:18:01.5
IC0150,1:42:58,+04:12:00.6
IC0151,1:43:57,+13:12:09.4
IC0152,1:44:07,+13:02:09.1
IC0153,1:44:36,+12:37:44.2
IC0154,1:45:16,+10:38:57.1
IC0155,1:47:32,+60:36:39.0
IC0156,1:45:29,+10:33:09.8
IC0157,1:45:42,+12:52:24.0
IC0158,1:45:54,-06:56:08.5
IC0159,1:46:25,-08:38:11.8
IC0160,1:46:30,-13:14:51.8
IC0161,1:48:44,+10:30:28.4
IC0162,1:48:53,+10:31:17.8
IC0163,1:49:15,+20:42:40.7
IC0164,1:49:08,-03:54:15.8
IC0165,1:50:14,+27:38:44.4
IC0166,1:52:24,+61:51:09.4
IC0167,1:51:09,+21:54:46.1
IC0168,1:50:28,-08:31:22.6
IC0169,1:50:39,-12:40:46.6
IC0170,1:51:58,-08:31:03.4
IC0171,1:55:10,+35:16:54.8
IC0172,1:54:54,+00:48:40.4
IC0173,1:55:57,+01:17:06.6
IC0174,1:56:16,+03:45:42.7
IC0175,1:56:19,+01:19:56.7
IC0176,1:56:53,-02:01:08.3
IC0177,1:57:01,-00:05:23.5
IC0178,1:58:55,+36:40:28.9
IC0179,2:00:12,+38:01:16.8
IC0180,2:00:00,+23:36:15.6
IC0181,2:00:02,+23:39:31.1
IC0182,1:59:52,+07:24:42.6
IC0183,1:59:34,-05:20:49.7
IC0184,1:59:51,-06:50:25.4
IC0185,2:00:06,-01:31:42.0
IC0186,2:00:25,-01:33:06.2
IC0187,2:01:31,+26:28:51.5
IC0188,2:01:47,+26:32:48.8
IC0189,2:01:53,+23:33:05.4
IC0190,2:02:07,+23:32:59.4
IC0191,2:02:29,+18:22:22.8
IC0192,2:02:32,+16:00:51.0
IC0193,2:02:31,+11:05:35.1
IC0194,2:03:05,+02:36:51.3
IC0195,2:03:45,+14:42:33.4
IC0196,2:03:50,+14:44:20.9
IC0197,2:04:05,+02:47:12.6
IC0198,2:06:03,+09:17:44.0
IC0199,2:06:19,+09:13:38.7
IC0200,2:05:27,+31:10:31.2
IC0201,2:07:15,+09:06:54.2
IC0202,2:07:29,+09:10:05.9
IC0203,2:07:30,+09:07:21.5
IC0204,2:07:27,-01:25:48.7
IC0205,2:07:27,-02:05:28.6
IC0206,2:09:31,-06:58:06.2
IC0207,2:09:39,-06:55:19.9
IC0208,2:08:28,+06:23:41.7
IC0209,2:08:59,-07:03:32.1
IC0210,2:09:28,-09:40:49.2
IC0211,2:11:08,+03:51:09.0
IC0212,2:13:38,+16:35:38.2
IC0213,2:14:04,+16:27:21.2
IC0214,2:14:06,+05:10:23.7
IC0215,2:14:09,-06:48:22.8
IC0216,2:15:56,-02:00:54.4
IC0217,2:16:10,-11:55:36.2
IC0218,2:17:07,+01:16:56.4
IC0219,2:18:39,-06:54:12.0
IC0220,2:19:12,-12:46:53.9
IC0221,2:22:41,+28:15:25.1
IC0222,2:22:48,+11:38:18.0
IC0223,2:22:01,-20:44:45.3
IC0224,2:24:45,-12:33:52.1
IC0225,2:26:28,+01:09:37.9
IC0226,2:27:46,+28:12:31.8
IC0227,2:28:04,+28:10:31.2
IC0228,2:26:42,-14:30:56.3
IC0229,2:27:22,-23:48:46.8
IC0230,2:28:47,-10:49:52.9
IC0231,2:29:56,+01:10:44.7
IC0232,2:31:12,+01:15:56.3
IC0233,2:31:41,+02:48:35.7
IC0234,2:31:38,-00:08:24.9
IC0235,2:32:51,+20:38:28.5
IC0236,2:32:56,-00:07:52.5
IC0237,2:33:32,+01:08:23.6
IC0238,2:35:23,+12:50:15.8
IC0239,2:36:28,+38:58:11.7
IC0240,2:38:59,+41:43:09.9
IC0241,2:37:54,+02:19:40.9
IC0242,2:38:24,-06:56:02.2
IC0243,2:38:32,-06:54:07.7
IC0244,2:39:25,+02:43:43.7
IC0245,2:38:55,-14:18:20.0
IC0246,2:40:29,+02:28:43.1
IC0247,2:40:09,-11:44:01.6
IC0248,2:41:26,+17:48:44.0
IC0249,2:41:02,-06:56:09.3
IC0250,2:40:54,-13:18:48.8
IC0251,2:41:14,-14:57:28.2
IC0252,2:41:45,-14:50:53.7
IC0253,2:42:06,-15:02:48.6
IC0254,2:42:05,-15:06:23.9
IC0255,2:47:03,+16:17:16.9
IC0256,2:49:40,+46:57:16.8
IC0257,2:49:45,+46:58:34.3
IC0258,2:49:46,+41:03:06.0
IC0259,2:49:41,+41:03:18.4
IC0260,2:51:01,+46:57:17.2
IC0261,2:49:04,-14:28:14.5
IC0262,2:51:43,+42:49:41.8
IC0263,2:49:40,-00:04:11.5
IC0264,2:48:48,-00:06:33.1
IC0265,2:54:44,+41:39:19.2
IC0266,2:55:05,+42:15:44.4
IC0267,2:53:50,+12:50:57.2
IC0268,2:55:27,-14:06:10.8
IC0269,2:55:26,-14:04:00.5
IC0270,2:55:44,-14:12:28.4
IC0271,2:55:59,-12:00:28.3
IC0272,2:56:06,-14:11:11.9
IC0273,2:57:11,+02:46:30.2
IC0274,3:00:05,+44:12:47.4
IC0275,3:00:57,+44:20:54.0
IC0276,2:58:41,-15:42:11.2
IC0277,2:59:51,+02:46:16.9
IC0278,3:01:30,+37:45:57.6
IC0279,3:01:12,+16:12:33.2
IC0280,3:03:04,+42:21:33.5
IC0281,3:04:37,+42:21:46.2
IC0282,3:06:13,+41:50:56.2
IC0283,3:03:50,-00:12:16.0
IC0284,3:06:10,+42:22:18.9
IC0285,3:04:06,-12:00:55.6
IC0286,3:04:47,-06:29:04.3
IC0287,3:04:58,-12:04:13.6
IC0288,3:07:33,+42:23:15.2
IC0289,3:10:19,+61:19:00.4
IC0290,3:09:43,+40:58:27.2
IC0291,3:07:26,-12:35:14.8
IC0292,3:10:13,+40:45:56.4
IC0293,3:10:56,+41:08:13.6
IC0294,3:11:03,+40:37:19.6
IC0295,3:11:01,+40:36:54.9
IC0296,3:11:05,+40:37:36.7
IC0297,3:13:18,+42:08:55.6
IC0298,3:11:19,+01:18:53.0
IC0299,3:11:03,-13:06:34.5
IC0300,3:14:16,+42:24:55.2
IC0301,3:14:48,+42:13:21.5
IC0302,3:12:51,+04:42:25.3
IC0303,3:12:41,-11:41:23.8
IC0304,3:15:01,+37:52:54.6
IC0305,3:15:04,+37:51:36.0
IC0306,3:13:00,-11:42:56.5
IC0307,3:13:45,-00:14:29.2
IC0308,3:16:16,+41:10:50.7
IC0309,3:16:06,+40:48:16.4
IC0310,3:16:43,+41:19:29.9
IC0311,3:16:47,+40:00:13.0
IC0312,3:18:09,+41:45:14.8
IC0313,3:20:58,+41:53:37.8
IC0314,3:18:50,-01:58:24.0
IC0315,3:19:09,+04:02:18.8
IC0316,3:21:20,+41:55:50.0
IC0317,3:18:56,-12:44:24.7
IC0318,3:20:44,-14:34:05.6
IC0319,3:23:29,+41:24:58.9
IC0320,3:25:59,+40:47:20.5
IC0321,3:24:30,-14:59:07.7
IC0322,3:26:00,+03:40:50.0
IC0323,3:29:34,+41:51:18.3
IC0324,3:26:28,-21:21:19.1
IC0325,3:30:49,-07:02:48.2
IC0326,3:30:37,-14:25:32.0
IC0327,3:31:10,-14:41:31.7
IC0328,3:31:11,-14:38:16.3
IC0329,3:32:01,+00:16:46.0
IC0330,3:32:08,+00:21:12.2
IC0331,3:32:19,+00:16:57.2
IC0332,3:32:37,+01:22:57.2
IC0333,3:34:03,-04:35:05.6
IC0334,3:45:17,+76:38:17.9
IC0335,3:35:31,-34:26:49.4
IC0336,3:37:57,+23:21:47.3
IC0337,3:37:04,-06:43:16.3
IC0338,3:37:38,+03:07:07.6
IC0339,3:38:02,-18:23:52.0
IC0340,3:39:29,-13:06:54.4
IC0341,3:40:56,+21:57:36.7
IC0342,3:46:48,+68:05:46.9
IC0343,3:40:07,-18:26:36.5
IC0344,3:41:30,-04:39:57.1
IC0345,3:41:09,-18:18:50.9
IC0346,3:41:45,-18:16:01.1
IC0347,3:42:33,-04:17:55.1
IC0348,3:44:34,+32:09:46.2
IC0349,3:46:20,+23:56:23.3
IC0350,3:44:37,-11:48:02.7
IC0351,3:47:33,+35:02:48.9
IC0352,3:47:37,-08:43:54.6
IC0353,3:53:01,+25:50:52.8
IC0354,3:53:58,+23:08:49.2
IC0355,3:53:46,+19:58:26.1
IC0356,4:07:47,+69:48:44.8
IC0357,4:03:44,+22:09:32.8
IC0358,4:03:43,+19:53:41.8
IC0359,4:12:28,+27:42:07.1
IC0360,4:09:03,+26:07:52.3
IC0361,4:18:51,+58:14:58.2
IC0362,4:16:42,-12:12:00.4
IC0363,4:18:55,+03:01:58.9
IC0364,4:19:07,+03:11:20.2
IC0365,4:19:14,+03:20:54.0
IC0366,4:19:42,+02:21:35.3
IC0367,4:20:41,-14:46:51.8
IC0368,4:22:43,-12:36:54.6
IC0369,4:23:28,-11:47:24.3
IC0370,4:24:02,-09:23:41.4
IC0371,4:30:13,-00:33:39.6
IC0372,4:30:04,-05:00:35.9
IC0373,4:30:43,-04:52:12.9
IC0374,4:32:33,+16:38:03.0
IC0375,4:31:03,-12:58:26.3
IC0376,4:31:14,-12:26:00.1
IC0377,4:31:17,-12:27:18.3
IC0378,4:31:28,-12:17:59.1
IC0379,4:31:51,-07:14:18.1
IC0380,4:31:41,-12:55:37.3
IC0381,4:44:28,+75:38:23.1
IC0382,4:37:56,-09:31:09.6
IC0383,4:38:58,+09:53:33.1
IC0384,4:39:18,-07:50:20.8
IC0385,4:39:31,-07:05:50.9
IC0386,4:39:59,-09:27:22.4
IC0387,4:41:44,-07:05:10.3
IC0388,4:41:53,-07:18:19.9
IC0389,4:42:00,-07:18:41.3
IC0390,4:42:04,-07:12:23.2
IC0391,4:57:21,+78:11:19.8
IC0392,4:46:26,+03:30:20.0
IC0393,4:47:52,-15:31:30.7
IC0394,4:48:51,-06:16:48.7
IC0395,4:49:34,+00:15:10.3
IC0396,4:57:59,+68:19:24.2
IC0397,5:01:07,+40:25:29.6
IC0398,4:58:13,-07:46:48.9
IC0399,5:01:44,-04:17:19.5
IC0400,5:03:46,-15:49:08.7
IC0401,5:04:20,-10:04:35.5
IC0402,5:06:15,-09:06:26.7
IC0403,5:15:16,+39:58:19.6
IC0404,5:13:20,+09:45:17.7
IC0405,5:16:29,+34:21:22.2
IC0406,5:17:49,+39:53:09.7
IC0407,5:17:43,-15:31:24.4
IC0408,5:18:04,-25:10:16.5
IC0409,5:19:34,+03:19:06.2
IC0410,5:22:44,+33:24:43.3
IC0411,5:20:19,-25:19:28.2
IC0412,5:21:57,+03:29:11.0
IC0413,5:21:59,+03:28:55.8
IC0414,5:21:55,+03:20:31.3
IC0415,5:21:22,-15:32:33.3
IC0416,5:23:56,-17:15:37.5
IC0417,5:28:06,+34:25:26.2
IC0418,5:27:28,-12:41:50.2
IC0419,5:30:52,+30:07:04.5
IC0420,5:32:10,-04:30:17.1
IC0421,5:32:09,-07:55:06.0
IC0422,5:32:19,-17:13:25.9
IC0423,5:33:22,-00:36:52.2
IC0424,5:33:37,-00:24:47.3
IC0425,5:37:10,+32:25:46.8
IC0426,5:36:31,-00:17:53.9
IC0427,5:36:18,-06:36:59.2
IC0428,5:36:24,-06:27:05.6
IC0429,5:38:19,-07:02:25.8
IC0430,5:38:36,-07:04:59.2
IC0431,5:40:14,-01:27:46.1
IC0432,5:40:56,-01:30:25.2
IC0433,5:40:31,-11:39:56.1
IC0434,5:41:01,-02:27:13.6
IC0435,5:43:01,-02:18:45.4
IC0436,5:53:40,+38:37:29.2
IC0437,5:51:37,-12:33:53.9
IC0438,5:53:00,-17:52:33.9
IC0439,5:56:40,+32:01:21.7
IC0440,6:19:13,+80:04:06.5
IC0441,6:02:43,-12:29:56.9
IC0442,6:36:12,+82:58:05.7
IC0443,6:16:37,+22:31:54.0
