2020-1-26	20:00:00

目标	可见度	时角	高度角
M104	1.4	0:37:35	55.83	
M9	1.39	19:58:23	18.73	双筒适合
M26	1.3	18:32:16	4.0	
M83	1.18	23:40:34	38.64	双筒适合
M56	1.16	18:0:59	10.72	双筒适合
M81	1.16	3:22:1	33.42	双筒适合
M14	1.14	19:39:58	21.87	双筒适合
M82	1.1	3:21:42	33.13	双筒适合
M107	1.09	20:45:3	31.11	双筒适合
M53	1.03	0:4:39	86.7	
M68	0.94	0:38:7	41.1	
M64	0.91	0:20:51	85.13	
M67	0.8	4:26:16	25.91	
M87	0.8	0:46:45	75.72	
M94	0.79	0:26:41	69.37	
M51	0.78	23:47:42	63.97	
M60	0.74	0:33:54	77.33	
M66	0.74	1:57:19	60.83	
M49	0.72	0:47:48	72.41	
M105	0.59	2:29:45	53.24	
M84	0.57	0:52:31	74.92	
M65	0.54	1:58:39	60.56	
M86	0.54	0:51:23	75.17	
M97	0.54	2:2:47	49.18	
M85	0.53	0:52:10	77.35	
M59	0.46	0:35:32	77.15	
M63	0.44	0:1:45	69.25	
M106	0.38	0:58:37	61.41	
M96	0.31	2:30:49	52.74	
M88	0.3	0:45:35	77.17	
M58	0.15	0:39:51	76.57	
M89	0.15	0:41:55	76.72	
M100	0.11	0:54:40	75.95	
M108	0.09	2:6:4	48.39	
M90	0.08	0:40:45	77.34	
M99	0.01	0:58:45	74.44	
----------------------
